epoch,train_loss,train_acc,test_acc
1,0.557646,86.0267,89.9
2,0.366547,89.75,90.77
3,0.336956,90.5167,91.26
4,0.321582,90.8833,91.33
5,0.311796,91.1667,91.55
6,0.304826,91.3883,91.63
7,0.2995,91.5083,91.9
8,0.295208,91.6517,91.9
9,0.291634,91.755,92.06
10,0.288738,91.8967,91.94
11,0.286187,91.9183,92.16
12,0.283827,92.0217,92.08
13,0.282056,92.0783,92.11
14,0.279892,92.15,92.03
15,0.278333,92.23,92.21
16,0.277048,92.2883,92.12
17,0.275596,92.2717,92.19
18,0.274489,92.305,92.09
19,0.273058,92.3967,92.31
20,0.272187,92.34,92.1
21,0.271164,92.445,92.15
22,0.270259,92.475,92.25
23,0.26922,92.4517,92.19
24,0.268486,92.52,92.15
25,0.267611,92.58,92.28
26,0.266929,92.5717,92.35
27,0.26616,92.59,92.23
28,0.265521,92.595,92.34
29,0.264763,92.635,92.24
30,0.264346,92.6833,92.42
31,0.263615,92.66,92.36
32,0.262981,92.6617,92.41
33,0.262467,92.6917,92.27
34,0.261984,92.7267,92.3
35,0.26142,92.7383,92.43
36,0.260804,92.785,92.38
37,0.260271,92.8217,92.32
38,0.259997,92.7583,92.4
39,0.25947,92.7983,92.27
40,0.259086,92.875,92.45
41,0.258682,92.8583,92.41
42,0.258308,92.8433,92.54
43,0.257709,92.8867,92.42
44,0.257417,92.9117,92.34
45,0.257139,92.8717,92.49
46,0.256633,92.9133,92.52
47,0.256493,92.9067,92.59
48,0.256021,92.8733,92.32
49,0.25572,92.945,92.39
50,0.255425,92.9633,92.44
