epoch,train_loss,train_acc,test_acc
1,0.0336572,99.2407,59.53
2,0.031202,99.4013,76.57
3,0.0293735,99.4883,81.04
4,0.0281966,99.513,83.27
5,0.0360656,99.4328,84.25
6,0.035139,99.4489,84.82
7,0.034403,99.4544,85.4
8,0.0337305,99.4583,85.72
9,0.0332343,99.4572,86.09
10,0.0326498,99.4617,86.47
11,0.0323232,99.4744,86.63
12,0.0321582,99.4683,86.79
13,0.0317428,99.4694,87
14,0.0314505,99.4661,87.07
15,0.0312138,99.4789,87.17
16,0.0309351,99.4672,87.38
17,0.0309126,99.4594,87.45
18,0.0306892,99.4672,87.59
19,0.0305467,99.4606,87.79
20,0.0303195,99.4694,87.83
21,0.0302245,99.4611,87.94
22,0.0300455,99.4644,88.01
23,0.0299594,99.4656,88.16
24,0.0299916,99.4539,88.17
25,0.0297759,99.4656,88.28
26,0.0295058,99.4617,88.34
27,0.029547,99.4578,88.38
28,0.0294526,99.4617,88.38
29,0.0293897,99.4689,88.41
30,0.029371,99.4583,88.37
31,0.0291658,99.4706,88.47
32,0.0291223,99.4611,88.56
33,0.0290174,99.4678,88.6
34,0.0289396,99.4583,88.63
35,0.0288813,99.4517,88.67
36,0.0288072,99.4711,88.68
37,0.0286721,99.4589,88.7
38,0.0286106,99.4583,88.73
39,0.0287086,99.4606,88.78
40,0.0286099,99.4539,88.79
41,0.0285463,99.455,88.85
42,0.0285442,99.4433,88.9
43,0.0284305,99.4522,88.94
44,0.0283331,99.4556,88.97
45,0.0282794,99.47,89
46,0.028346,99.45,89.05
47,0.0282008,99.4506,89.06
48,0.0281189,99.4556,89.07
49,0.0281246,99.4678,89.11
50,0.0281318,99.4572,89.12
51,0.0280048,99.4683,89.21
52,0.0278479,99.4606,89.22
53,0.028067,99.45,89.17
54,0.0279228,99.4578,89.22
55,0.0278907,99.4667,89.2
56,0.0279185,99.4589,89.23
