round,loss,train_acc
1,0.0116896,99.7546
2,0.0111493,99.8236
3,0.00966319,99.9233
4,0.00924205,99.954
5,0.0138946,99.885
6,0.0127434,99.9361
7,0.0129298,99.9617
8,0.0124705,99.9489
9,0.0125295,99.9489
10,0.0121351,99.9617
11,0.0119311,99.9744
12,0.0126599,99.885
13,0.012221,99.9105
14,0.0120408,99.9233
15,0.0116052,99.9489
16,0.0120649,99.9233
17,0.0117938,99.9233
18,0.0117798,99.9105
19,0.0118394,99.9105
20,0.0116971,99.9105
21,0.0118614,99.9361
22,0.0116908,99.9233
23,0.0122498,99.9361
24,0.0117289,99.8722
25,0.0116805,99.885
26,0.011668,99.9361
27,0.0117223,99.885
28,0.0116591,99.885
29,0.0119394,99.885
30,0.012258,99.8466
31,0.0113122,99.9105
32,0.0118222,99.8722
33,0.0113668,99.8978
34,0.0114445,99.9105
35,0.0118122,99.8594
36,0.0118728,99.8722
37,0.011786,99.8594
38,0.0116354,99.8594
39,0.0115907,99.8978
40,0.0114364,99.8722
41,0.0115456,99.885
42,0.0110684,99.8978
43,0.0113458,99.8722
44,0.0114582,99.885
45,0.011153,99.885
46,0.0115922,99.8722
47,0.0114465,99.8466
48,0.0115617,99.8722
49,0.0115901,99.885
50,0.0115074,99.885
51,0.0112918,99.8978
52,0.0116579,99.8722
53,0.0115866,99.8211
