date_time_started,num_processes,num_nodes,data_distribution,epochs_to_80,run_time_seconds
2026-05-13_22-21-34,20,2,label_shard_noniid,12,11.2351
2026-05-13_22-21-35,30,3,label_shard_noniid,8,15.9892
2026-05-13_22-21-35,40,4,label_shard_noniid,6,19.746
2026-05-13_22-21-48,20,2,label_shard_noniid,11,9.46136
2026-05-13_22-21-53,30,3,label_shard_noniid,8,14.5086
2026-05-13_22-21-59,20,2,label_shard_noniid,11,9.79135
2026-05-13_22-21-57,40,4,label_shard_noniid,6,19.4023
2026-05-13_22-22-11,24,3,label_shard_noniid,4,8.85872
2026-05-13_22-22-10,30,3,label_shard_noniid,8,15.5038
2026-05-13_22-22-22,24,3,label_shard_noniid,3,8.67023
2026-05-13_22-22-19,40,4,label_shard_noniid,6,18.4271
2026-05-13_22-22-33,24,3,label_shard_noniid,3,8.66853
2026-05-13_22-22-28,24,4,label_shard_noniid,4,16.2588
2026-05-13_22-22-44,24,6,label_shard_noniid,4,16.145
2026-05-13_22-22-47,24,4,label_shard_noniid,4,15.3602
2026-05-13_22-23-02,24,6,label_shard_noniid,3,16.4521
2026-05-13_22-23-05,24,4,label_shard_noniid,3,15.4135
2026-05-13_22-23-21,24,6,label_shard_noniid,4,15.3097
2026-05-13_22-23-39,24,8,label_shard_noniid,4,15.3909
2026-05-13_22-23-57,24,8,label_shard_noniid,3,17.0179
2026-05-13_22-24-16,24,8,label_shard_noniid,4,15.618
2026-05-13_22-28-14,24,2,label_shard_noniid,3,9.15992
2026-05-13_22-28-25,24,2,label_shard_noniid,3,9.22632
2026-05-13_22-28-36,24,2,label_shard_noniid,4,8.70611
