epoch,train_loss,train_acc,test_acc
1,0.557514,86.0983,89.92
2,0.366127,89.735,90.84
3,0.336737,90.5017,91.15
4,0.321469,90.9033,91.24
5,0.311753,91.185,91.48
6,0.304818,91.4083,91.59
7,0.299515,91.5317,91.8
8,0.29524,91.6417,91.91
9,0.291684,91.7767,92.01
10,0.288788,91.86,91.95
11,0.286238,91.925,92.15
12,0.283885,92.025,92
13,0.282106,92.0667,92.06
14,0.279949,92.1433,92.04
15,0.278384,92.2083,92.18
16,0.277094,92.27,92.07
17,0.275641,92.27,92.25
18,0.274538,92.305,92.05
19,0.273105,92.3867,92.29
20,0.272232,92.3567,92.15
21,0.271201,92.4133,92.09
22,0.270306,92.4383,92.24
23,0.269261,92.4667,92.16
24,0.268531,92.485,92.28
25,0.26765,92.5683,92.15
26,0.266968,92.565,92.31
27,0.266198,92.5933,92.2
28,0.265554,92.6083,92.3
29,0.264798,92.6383,92.25
30,0.26438,92.6833,92.33
31,0.263646,92.6567,92.37
32,0.26301,92.6917,92.36
33,0.262498,92.6817,92.32
34,0.262014,92.735,92.37
35,0.261452,92.73,92.35
36,0.260827,92.7917,92.44
37,0.260305,92.7967,92.29
38,0.260028,92.7533,92.37
39,0.259497,92.7867,92.21
40,0.25911,92.8333,92.4
41,0.258707,92.8367,92.4
