round,loss,train_acc
1,0.051862,98.865
2,0.0469983,99.09
3,0.0433652,99.24
4,0.0414802,99.29
5,0.0499484,99.1083
6,0.0479653,99.1833
7,0.0471746,99.2333
8,0.0456408,99.2917
9,0.0456968,99.1417
10,0.0448153,99.2167
11,0.0441904,99.2
12,0.0441531,99.1583
13,0.043682,99.25
14,0.0431625,99.2
15,0.042779,99.25
16,0.0428478,99.2667
17,0.0427778,99.2
18,0.0419664,99.1833
19,0.041951,99.2083
20,0.042004,99.2333
21,0.0412216,99.2333
22,0.0412857,99.2333
23,0.0409324,99.225
24,0.0415296,99.225
25,0.0405638,99.2833
26,0.0409918,99.2333
27,0.0413257,99.1
28,0.0406491,99.125
29,0.0401577,99.2333
30,0.0402218,99.15
31,0.0401029,99.2167
32,0.0402057,99.1083
33,0.0397064,99.2583
34,0.0397806,99.1917
35,0.0398749,99.2
36,0.0397202,99.2167
37,0.0393179,99.25
38,0.0391802,99.2
39,0.0394622,99.2583
40,0.0395676,99.2083
41,0.0391464,99.175
42,0.0398805,99.2
43,0.0391484,99.1583
44,0.0392167,99.1833
45,0.0385996,99.25
46,0.0393122,99.1917
47,0.0386543,99.225
48,0.0386907,99.1833
49,0.0388361,99.175
50,0.0386051,99.2667
