epoch,train_loss,train_acc,test_acc
1,0.0378366,99.2373,53.34
2,0.0352218,99.4813,71.76
3,0.0333158,99.576,77.65
4,0.0318501,99.6107,80.55
5,0.043866,99.5128,82.2
6,0.0425297,99.5328,83.33
7,0.0416577,99.5633,84.04
8,0.04084,99.5467,84.49
9,0.0402126,99.5522,84.94
10,0.0397656,99.55,85.4
11,0.0390616,99.5533,85.78
12,0.0387194,99.5517,85.97
13,0.0382127,99.5522,86.38
14,0.0381476,99.5494,86.57
15,0.0378154,99.5494,86.84
16,0.0376485,99.5244,86.93
17,0.0372863,99.5322,87.1
18,0.0373454,99.5139,87.24
19,0.0369975,99.5194,87.33
20,0.0367326,99.545,87.44
21,0.0366735,99.5128,87.57
22,0.0366503,99.5244,87.72
23,0.0366289,99.4972,87.8
24,0.036256,99.5178,87.99
25,0.0363193,99.4917,88.02
26,0.0361157,99.5078,88.14
27,0.036113,99.495,88.26
28,0.0358772,99.505,88.4
29,0.036032,99.4944,88.48
30,0.0358439,99.4878,88.55
31,0.0357228,99.4878,88.61
32,0.0356914,99.4639,88.63
33,0.035586,99.46,88.71
34,0.035527,99.4594,88.77
35,0.0353654,99.4794,88.79
36,0.0354182,99.4778,88.8
37,0.0354812,99.4561,88.82
38,0.03535,99.4683,88.84
39,0.0352421,99.4861,88.85
40,0.0352497,99.4728,88.9
41,0.0350697,99.4839,88.96
42,0.0352396,99.4667,89.01
43,0.0351999,99.4378,89.02
44,0.0350258,99.4522,89.07
45,0.0350833,99.4511,89.11
46,0.035094,99.4544,89.13
47,0.0348838,99.4478,89.16
48,0.0349781,99.4472,89.18
49,0.0349926,99.4411,89.21
50,0.0347891,99.4478,89.24
