date_time_started,num_processes,num_nodes,data_distribution,epochs_to_80,run_time_seconds
2026-05-14_07-59-23,32,4,label_shard_noniid,3,7.09795
2026-05-14_07-59-25,48,3,label_shard_noniid,6,7.67872
2026-05-14_07-59-23,16,2,label_shard_noniid,8,10.7075
2026-05-14_07-59-23,24,3,label_shard_noniid,4,14.017
2026-05-14_07-59-32,32,4,label_shard_noniid,4,7.61921
2026-05-14_07-59-35,48,3,label_shard_noniid,5,7.0268
2026-05-14_07-59-36,16,2,label_shard_noniid,9,10.6995
2026-05-14_07-59-42,32,4,label_shard_noniid,4,7.07719
2026-05-14_07-59-44,48,3,label_shard_noniid,4,7.019
2026-05-14_07-59-39,24,3,label_shard_noniid,4,15.7068
2026-05-14_07-59-51,48,4,label_shard_noniid,6,6.78831
2026-05-14_07-59-48,16,2,label_shard_noniid,8,10.7106
2026-05-14_08-00-00,48,4,label_shard_noniid,5,6.78809
2026-05-14_07-59-56,48,6,label_shard_noniid,6,11.2458
2026-05-14_07-59-58,24,3,label_shard_noniid,3,12.8288
2026-05-14_08-00-09,48,4,label_shard_noniid,6,6.78747
2026-05-14_08-00-10,48,6,label_shard_noniid,5,8.35592
2026-05-14_08-00-18,48,8,label_shard_noniid,5,9.91058
2026-05-14_08-00-21,48,6,label_shard_noniid,4,10.2064
2026-05-14_08-00-31,48,8,label_shard_noniid,6,8.6777
2026-05-14_08-00-42,48,8,label_shard_noniid,6,9.92516
2026-05-14_08-01-36,3,1,label_shard_noniid,3,48.3829
2026-05-14_08-02-26,3,1,label_shard_noniid,3,48.2329
2026-05-14_08-03-16,3,1,label_shard_noniid,3,48.1531
2026-05-14_08-04-06,5,1,label_shard_noniid,9,28.4273
2026-05-14_08-04-37,5,1,label_shard_noniid,9,27.5826
2026-05-14_08-05-06,5,1,label_shard_noniid,9,28.568
2026-05-14_08-05-37,7,1,label_shard_noniid,33,23.3527
2026-05-14_08-06-02,7,1,label_shard_noniid,33,23.5594
2026-05-14_08-06-28,7,1,label_shard_noniid,33,26.5081
2026-05-14_08-06-56,9,1,label_shard_noniid,22,23.9418
2026-05-14_08-07-22,9,1,label_shard_noniid,25,24.0646
2026-05-14_08-07-48,9,1,label_shard_noniid,24,23.1421
2026-05-14_08-08-13,13,1,label_shard_noniid,6,15.8512
2026-05-14_08-08-31,13,1,label_shard_noniid,6,15.1305
2026-05-14_08-08-48,13,1,label_shard_noniid,6,17.9186
2026-05-14_08-09-08,16,1,label_shard_noniid,8,16.5485
2026-05-14_08-09-26,16,1,label_shard_noniid,8,14.9731
2026-05-14_08-09-43,16,1,label_shard_noniid,9,15.6223
