epoch,train_loss,train_acc,test_acc
1,0.102289,96.933,42.88
2,0.0927077,97.238,60.64
3,0.0873135,97.382,69.84
4,0.0840031,97.4943,73.41
5,0.0861322,97.47,76.55
6,0.0845778,97.5217,77.75
7,0.0832671,97.5411,78.95
8,0.0821742,97.5694,79.9
9,0.0814501,97.5833,80.44
10,0.0803159,97.6189,80.38
11,0.0797605,97.6406,81.21
12,0.0791527,97.655,81.09
13,0.0785836,97.665,81.25
14,0.0778785,97.6772,82.44
15,0.0773975,97.7072,82.2
16,0.0768887,97.7078,82.29
17,0.0763441,97.725,82.53
18,0.0760353,97.7472,82.54
19,0.075533,97.7594,82.48
20,0.0752501,97.7717,82.56
21,0.0749349,97.7494,82.56
22,0.0746089,97.8011,82.69
23,0.0743419,97.805,82.95
24,0.0739073,97.8111,83.08
25,0.0735073,97.8344,82.87
26,0.0733463,97.815,82.92
27,0.0731186,97.8472,82.91
28,0.0727069,97.8561,82.88
29,0.0724744,97.8706,83.24
30,0.0723594,97.8461,83.04
31,0.072063,97.8494,83.56
32,0.0718411,97.8639,83.16
33,0.0715626,97.8872,83.14
34,0.0714011,97.9078,83.28
35,0.0711757,97.9006,83.44
36,0.0710748,97.8783,83.37
37,0.0708771,97.9206,83.44
38,0.0707723,97.9033,83.11
39,0.070504,97.9172,82.85
40,0.0704316,97.9206,83.03
