round,loss,train_acc
1,0.0520442,98.4227
2,0.0460835,98.6267
3,0.0426106,98.7547
4,0.0405318,98.8387
5,0.0426521,98.8067
6,0.0416495,98.8311
7,0.0410144,98.8356
8,0.0402778,98.8711
9,0.0400132,98.8844
10,0.0393036,98.88
11,0.0389855,98.8956
12,0.0385427,98.9089
13,0.038191,98.9467
14,0.0377594,98.9178
15,0.0375138,98.9467
16,0.0369204,98.9778
17,0.0368492,98.9733
18,0.0367989,98.9467
19,0.0363514,98.9956
20,0.0361048,98.9911
21,0.0360492,98.9756
22,0.0357274,99.0222
23,0.0355279,99
24,0.0352904,99.02
25,0.0350787,98.9822
26,0.0351933,98.9933
27,0.0349006,99.0133
28,0.03462,99.02
29,0.0344756,99.0289
30,0.0344361,99.0289
31,0.0340633,99.0333
32,0.0341767,99.0489
33,0.0339743,99.0311
34,0.0336726,99.0956
35,0.0334665,99.0556
36,0.033721,99.0111
37,0.0334409,99.0733
38,0.0332082,99.0778
39,0.0333277,99.0756
40,0.0331885,99.0756
