epoch,train_loss,train_acc,test_acc
1,0.553991,86.3233,89.97
2,0.365198,89.78,90.8
3,0.336057,90.475,91.24
4,0.320907,90.8883,91.27
5,0.31126,91.2033,91.57
6,0.304383,91.4167,91.66
7,0.299104,91.5233,91.8
8,0.294861,91.6483,91.87
9,0.291315,91.74,91.97
10,0.288441,91.8917,91.95
11,0.285915,91.9233,92.11
12,0.28358,91.9983,92.07
13,0.281807,92.08,92.02
14,0.279665,92.1433,92
15,0.278115,92.25,92.17
16,0.276833,92.2867,92.02
17,0.275388,92.3167,92.15
18,0.274297,92.3067,92.03
19,0.272874,92.3967,92.21
20,0.272008,92.3667,92.11
21,0.270987,92.465,92.13
22,0.270099,92.4667,92.18
23,0.269053,92.4433,92.18
24,0.268328,92.5217,92.18
25,0.267455,92.5783,92.23
26,0.266786,92.5617,92.32
27,0.266012,92.6,92.2
28,0.265379,92.6317,92.25
29,0.264625,92.6317,92.22
30,0.264212,92.6717,92.36
31,0.26348,92.66,92.29
32,0.262854,92.67,92.39
33,0.262343,92.725,92.26
34,0.261864,92.7433,92.29
35,0.261304,92.7383,92.35
36,0.260687,92.8,92.39
37,0.260162,92.7917,92.23
38,0.259884,92.7583,92.39
39,0.259361,92.7933,92.24
40,0.258982,92.8483,92.45
41,0.258581,92.8467,92.46
42,0.258205,92.8517,92.51
43,0.257612,92.885,92.43
44,0.257322,92.8917,92.35
45,0.257048,92.8883,92.48
46,0.25654,92.9033,92.5
47,0.256404,92.9067,92.54
48,0.255933,92.8983,92.36
49,0.255635,92.9283,92.4
50,0.255341,92.945,92.46
