Softmax regression: 10 classes; 784 features
Epoch 1 | Loss: 0.553991 | Train Accuracy: 86.3233% | Test Accuracy: 89.97%
Epoch 2 | Loss: 0.365198 | Train Accuracy: 89.78% | Test Accuracy: 90.8%
Epoch 3 | Loss: 0.336057 | Train Accuracy: 90.475% | Test Accuracy: 91.24%
Epoch 4 | Loss: 0.320907 | Train Accuracy: 90.8883% | Test Accuracy: 91.27%
Epoch 5 | Loss: 0.31126 | Train Accuracy: 91.2033% | Test Accuracy: 91.57%
Epoch 6 | Loss: 0.304383 | Train Accuracy: 91.4167% | Test Accuracy: 91.66%
Epoch 7 | Loss: 0.299104 | Train Accuracy: 91.5233% | Test Accuracy: 91.8%
Epoch 8 | Loss: 0.294861 | Train Accuracy: 91.6483% | Test Accuracy: 91.87%
Epoch 9 | Loss: 0.291315 | Train Accuracy: 91.74% | Test Accuracy: 91.97%
Epoch 10 | Loss: 0.288441 | Train Accuracy: 91.8917% | Test Accuracy: 91.95%
Epoch 11 | Loss: 0.285915 | Train Accuracy: 91.9233% | Test Accuracy: 92.11%
Epoch 12 | Loss: 0.28358 | Train Accuracy: 91.9983% | Test Accuracy: 92.07%
Epoch 13 | Loss: 0.281807 | Train Accuracy: 92.08% | Test Accuracy: 92.02%
Epoch 14 | Loss: 0.279665 | Train Accuracy: 92.1433% | Test Accuracy: 92%
Epoch 15 | Loss: 0.278115 | Train Accuracy: 92.25% | Test Accuracy: 92.17%
Epoch 16 | Loss: 0.276833 | Train Accuracy: 92.2867% | Test Accuracy: 92.02%
Epoch 17 | Loss: 0.275388 | Train Accuracy: 92.3167% | Test Accuracy: 92.15%
Epoch 18 | Loss: 0.274297 | Train Accuracy: 92.3067% | Test Accuracy: 92.03%
Epoch 19 | Loss: 0.272874 | Train Accuracy: 92.3967% | Test Accuracy: 92.21%
Epoch 20 | Loss: 0.272008 | Train Accuracy: 92.3667% | Test Accuracy: 92.11%
Epoch 21 | Loss: 0.270987 | Train Accuracy: 92.465% | Test Accuracy: 92.13%
Epoch 22 | Loss: 0.270099 | Train Accuracy: 92.4667% | Test Accuracy: 92.18%
Epoch 23 | Loss: 0.269053 | Train Accuracy: 92.4433% | Test Accuracy: 92.18%
Epoch 24 | Loss: 0.268328 | Train Accuracy: 92.5217% | Test Accuracy: 92.18%
Epoch 25 | Loss: 0.267455 | Train Accuracy: 92.5783% | Test Accuracy: 92.23%
Epoch 26 | Loss: 0.266786 | Train Accuracy: 92.5617% | Test Accuracy: 92.32%
Epoch 27 | Loss: 0.266012 | Train Accuracy: 92.6% | Test Accuracy: 92.2%
Epoch 28 | Loss: 0.265379 | Train Accuracy: 92.6317% | Test Accuracy: 92.25%
Epoch 29 | Loss: 0.264625 | Train Accuracy: 92.6317% | Test Accuracy: 92.22%
Epoch 30 | Loss: 0.264212 | Train Accuracy: 92.6717% | Test Accuracy: 92.36%
Epoch 31 | Loss: 0.26348 | Train Accuracy: 92.66% | Test Accuracy: 92.29%
Epoch 32 | Loss: 0.262854 | Train Accuracy: 92.67% | Test Accuracy: 92.39%
Epoch 33 | Loss: 0.262343 | Train Accuracy: 92.725% | Test Accuracy: 92.26%
Epoch 34 | Loss: 0.261864 | Train Accuracy: 92.7433% | Test Accuracy: 92.29%
Epoch 35 | Loss: 0.261304 | Train Accuracy: 92.7383% | Test Accuracy: 92.35%
Epoch 36 | Loss: 0.260687 | Train Accuracy: 92.8% | Test Accuracy: 92.39%
Epoch 37 | Loss: 0.260162 | Train Accuracy: 92.7917% | Test Accuracy: 92.23%
Epoch 38 | Loss: 0.259884 | Train Accuracy: 92.7583% | Test Accuracy: 92.39%
Epoch 39 | Loss: 0.259361 | Train Accuracy: 92.7933% | Test Accuracy: 92.24%
Epoch 40 | Loss: 0.258982 | Train Accuracy: 92.8483% | Test Accuracy: 92.45%
Epoch 41 | Loss: 0.258581 | Train Accuracy: 92.8467% | Test Accuracy: 92.46%
Epoch 42 | Loss: 0.258205 | Train Accuracy: 92.8517% | Test Accuracy: 92.51%
Epoch 43 | Loss: 0.257612 | Train Accuracy: 92.885% | Test Accuracy: 92.43%
Epoch 44 | Loss: 0.257322 | Train Accuracy: 92.8917% | Test Accuracy: 92.35%
Epoch 45 | Loss: 0.257048 | Train Accuracy: 92.8883% | Test Accuracy: 92.48%
Epoch 46 | Loss: 0.25654 | Train Accuracy: 92.9033% | Test Accuracy: 92.5%
Epoch 47 | Loss: 0.256404 | Train Accuracy: 92.9067% | Test Accuracy: 92.54%
Epoch 48 | Loss: 0.255933 | Train Accuracy: 92.8983% | Test Accuracy: 92.36%
Epoch 49 | Loss: 0.255635 | Train Accuracy: 92.9283% | Test Accuracy: 92.4%
Epoch 50 | Loss: 0.255341 | Train Accuracy: 92.945% | Test Accuracy: 92.46%

[Centralised] Done. Centralised data saved to /home/lily/HPC_Assignment/problem1/federated_clustering_mpi/metrics/single_8/centralised/centralised
