Softmax regression: 10 classes; 784 features
Epoch 1 | Loss: 0.557058 | Train Accuracy: 86.165% | Test Accuracy: 90.05%
Epoch 2 | Loss: 0.366222 | Train Accuracy: 89.845% | Test Accuracy: 90.82%
Epoch 3 | Loss: 0.336777 | Train Accuracy: 90.4767% | Test Accuracy: 91.24%
Epoch 4 | Loss: 0.321487 | Train Accuracy: 90.8767% | Test Accuracy: 91.28%
Epoch 5 | Loss: 0.311744 | Train Accuracy: 91.2% | Test Accuracy: 91.57%
Epoch 6 | Loss: 0.304796 | Train Accuracy: 91.455% | Test Accuracy: 91.62%
Epoch 7 | Loss: 0.299477 | Train Accuracy: 91.5383% | Test Accuracy: 91.87%
Epoch 8 | Loss: 0.295186 | Train Accuracy: 91.65% | Test Accuracy: 91.86%
Epoch 9 | Loss: 0.291627 | Train Accuracy: 91.77% | Test Accuracy: 92.01%
Epoch 10 | Loss: 0.288729 | Train Accuracy: 91.8817% | Test Accuracy: 91.97%
Epoch 11 | Loss: 0.286177 | Train Accuracy: 91.9283% | Test Accuracy: 92.13%
Epoch 12 | Loss: 0.28382 | Train Accuracy: 92.0517% | Test Accuracy: 92.06%
Epoch 13 | Loss: 0.282038 | Train Accuracy: 92.0883% | Test Accuracy: 92.08%
Epoch 14 | Loss: 0.279883 | Train Accuracy: 92.15% | Test Accuracy: 92.08%
Epoch 15 | Loss: 0.278312 | Train Accuracy: 92.2333% | Test Accuracy: 92.18%
Epoch 16 | Loss: 0.277027 | Train Accuracy: 92.2917% | Test Accuracy: 92.13%
Epoch 17 | Loss: 0.275574 | Train Accuracy: 92.29% | Test Accuracy: 92.11%
Epoch 18 | Loss: 0.274468 | Train Accuracy: 92.315% | Test Accuracy: 92.05%
Epoch 19 | Loss: 0.273039 | Train Accuracy: 92.4133% | Test Accuracy: 92.31%
Epoch 20 | Loss: 0.272163 | Train Accuracy: 92.3867% | Test Accuracy: 92.04%
Epoch 21 | Loss: 0.27114 | Train Accuracy: 92.4483% | Test Accuracy: 92.16%
Epoch 22 | Loss: 0.270236 | Train Accuracy: 92.49% | Test Accuracy: 92.26%
Epoch 23 | Loss: 0.26919 | Train Accuracy: 92.4583% | Test Accuracy: 92.17%
Epoch 24 | Loss: 0.268461 | Train Accuracy: 92.505% | Test Accuracy: 92.25%
Epoch 25 | Loss: 0.267585 | Train Accuracy: 92.565% | Test Accuracy: 92.34%
Epoch 26 | Loss: 0.266901 | Train Accuracy: 92.58% | Test Accuracy: 92.33%
Epoch 27 | Loss: 0.266133 | Train Accuracy: 92.6133% | Test Accuracy: 92.2%
Epoch 28 | Loss: 0.265493 | Train Accuracy: 92.6283% | Test Accuracy: 92.26%
Epoch 29 | Loss: 0.264736 | Train Accuracy: 92.665% | Test Accuracy: 92.25%
Epoch 30 | Loss: 0.264314 | Train Accuracy: 92.6983% | Test Accuracy: 92.38%
Epoch 31 | Loss: 0.26358 | Train Accuracy: 92.6933% | Test Accuracy: 92.39%
Epoch 32 | Loss: 0.262953 | Train Accuracy: 92.6683% | Test Accuracy: 92.41%
Epoch 33 | Loss: 0.262434 | Train Accuracy: 92.7167% | Test Accuracy: 92.29%
Epoch 34 | Loss: 0.261958 | Train Accuracy: 92.77% | Test Accuracy: 92.32%
Epoch 35 | Loss: 0.261393 | Train Accuracy: 92.745% | Test Accuracy: 92.35%
Epoch 36 | Loss: 0.260771 | Train Accuracy: 92.8233% | Test Accuracy: 92.34%
Epoch 37 | Loss: 0.260242 | Train Accuracy: 92.8033% | Test Accuracy: 92.26%
Epoch 38 | Loss: 0.259965 | Train Accuracy: 92.7683% | Test Accuracy: 92.43%
Epoch 39 | Loss: 0.259441 | Train Accuracy: 92.8083% | Test Accuracy: 92.23%
Epoch 40 | Loss: 0.259055 | Train Accuracy: 92.8533% | Test Accuracy: 92.47%
Epoch 41 | Loss: 0.258654 | Train Accuracy: 92.8483% | Test Accuracy: 92.44%
Epoch 42 | Loss: 0.258279 | Train Accuracy: 92.8567% | Test Accuracy: 92.51%
Epoch 43 | Loss: 0.257678 | Train Accuracy: 92.8867% | Test Accuracy: 92.37%
Epoch 44 | Loss: 0.257385 | Train Accuracy: 92.9% | Test Accuracy: 92.34%
Epoch 45 | Loss: 0.257108 | Train Accuracy: 92.8983% | Test Accuracy: 92.47%
Epoch 46 | Loss: 0.256598 | Train Accuracy: 92.9117% | Test Accuracy: 92.48%
Epoch 47 | Loss: 0.256466 | Train Accuracy: 92.93% | Test Accuracy: 92.55%
Epoch 48 | Loss: 0.255992 | Train Accuracy: 92.9033% | Test Accuracy: 92.32%
Epoch 49 | Loss: 0.255689 | Train Accuracy: 92.9533% | Test Accuracy: 92.42%
Epoch 50 | Loss: 0.255394 | Train Accuracy: 92.965% | Test Accuracy: 92.42%

[Centralised] Done. Centralised data saved to /home-mscluster/ldemelo/HPC_Assignment/problem1/federated_clustering_mpi/metrics/sweep_1/centralised/central_rep2
