sweep_id,run_id,date_time_started,num_processes,num_nodes,data_distribution,epochs_to_80,run_time_seconds
4,fixed_ppn_n2_p8_rep1_j201532,2026-05-18_11-34-20,16,2,label_shard_noniid,8,10.7401
4,fixed_ppn_n2_p8_rep2_j201532,2026-05-18_11-34-32,16,2,label_shard_noniid,8,10.7431
4,fixed_ppn_n2_p8_rep3_j201532,2026-05-18_11-34-44,16,2,label_shard_noniid,8,9.92935
4,fixed_ppn_n3_p8_rep1_j201533,2026-05-18_11-34-22,24,3,label_shard_noniid,3,22.1891
4,fixed_ppn_n3_p8_rep2_j201533,2026-05-18_11-34-45,24,3,label_shard_noniid,3,20.1025
4,fixed_ppn_n3_p8_rep3_j201533,2026-05-18_11-35-07,24,3,label_shard_noniid,3,20.0981
4,fixed_ppn_n4_p8_rep1_j201534,2026-05-18_11-35-30,32,4,label_shard_noniid,4,13.0329
4,fixed_ppn_n4_p8_rep2_j201534,2026-05-18_11-35-45,32,4,label_shard_noniid,4,12.8011
4,fixed_ppn_n4_p8_rep3_j201534,2026-05-18_11-35-59,32,4,label_shard_noniid,4,11.8361
4,fixed_total_n3_p16_rep1_j201535,2026-05-18_11-36-12,48,3,label_shard_noniid,5,7.06417
4,fixed_total_n3_p16_rep2_j201535,2026-05-18_11-36-20,48,3,label_shard_noniid,5,7.03401
4,fixed_total_n3_p16_rep3_j201535,2026-05-18_11-36-28,48,3,label_shard_noniid,5,7.03661
4,fixed_total_n4_p12_rep1_j201536,2026-05-18_11-36-37,48,4,label_shard_noniid,6,10.1423
4,fixed_total_n4_p12_rep2_j201536,2026-05-18_11-36-49,48,4,label_shard_noniid,6,10.1542
4,fixed_total_n4_p12_rep3_j201536,2026-05-18_11-37-00,48,4,label_shard_noniid,5,10.1509
4,fixed_total_n6_p8_rep1_j201537,2026-05-18_11-37-13,48,6,label_shard_noniid,6,9.48245
4,fixed_total_n6_p8_rep2_j201537,2026-05-18_11-37-23,48,6,label_shard_noniid,5,10.0534
4,fixed_total_n6_p8_rep3_j201537,2026-05-18_11-37-35,48,6,label_shard_noniid,5,10.0427
4,fixed_total_n8_p6_rep1_j201538,2026-05-18_20-07-01,48,8,label_shard_noniid,5,10.1999
4,fixed_total_n8_p6_rep2_j201538,2026-05-18_20-07-12,48,8,label_shard_noniid,6,9.98508
4,fixed_total_n8_p6_rep3_j201538,2026-05-18_20-07-24,48,8,label_shard_noniid,5,10.0233
