data_distribution,num_processes,speedup_mean,speedup_std,fed_time_mean_s,epochs_to_80_mean,n_reps
round_robin_iid,3,0.6399,0.0006,38.492,1.00,3
round_robin_iid,5,1.1292,0.0137,21.816,1.00,3
round_robin_iid,7,1.4702,0.0733,16.797,1.00,3
round_robin_iid,9,1.8805,0.0104,13.098,1.00,3
round_robin_iid,13,2.2501,0.1394,10.989,1.00,3
round_robin_iid,16,2.7421,0.0415,8.985,1.00,3
label_shard_noniid,3,0.6375,0.0007,38.638,3.00,3
label_shard_noniid,5,1.1426,0.0032,21.558,9.00,3
label_shard_noniid,7,1.3718,0.0143,17.957,33.00,3
label_shard_noniid,9,1.5594,0.0223,15.798,24.33,3
label_shard_noniid,13,2.1670,0.1074,11.394,6.00,3
label_shard_noniid,16,2.4935,0.0834,9.889,8.00,3
label_shard_noniid_rotate_feature_skew,3,0.6332,0.0005,38.897,not_reached,3
label_shard_noniid_rotate_feature_skew,5,1.1385,0.0017,21.635,not_reached,3
label_shard_noniid_rotate_feature_skew,7,1.5115,0.0009,16.296,not_reached,3
label_shard_noniid_rotate_feature_skew,9,1.8717,0.0047,13.160,not_reached,3
label_shard_noniid_rotate_feature_skew,13,2.4147,0.0027,10.200,not_reached,3
label_shard_noniid_rotate_feature_skew,16,2.7574,0.0098,8.933,not_reached,3
