date_time,max_spheres,ray_depth,num_spheres,block_size,implementation,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
2026-05-14_08-40-10,512,50,200,32,OPENMP,656.509,656.509,0.000,656.509,656.509,0.000624,1.000000,1.000000
2026-05-14_08-40-10,512,50,200,32,GLOBAL,656.509,11.819,0.006,11.819,11.824,0.034657,55.548518,55.521183
2026-05-14_08-40-10,512,50,200,32,CONSTANT,656.509,11.718,0.120,11.718,11.838,0.034954,56.025082,55.458851
2026-05-14_08-40-10,512,50,200,32,SHARED,656.509,16.464,0.120,16.464,16.584,0.024878,39.875364,39.587676
2026-05-14_08-40-10,512,50,200,32,1D TEXTURE,656.509,11.766,0.004,11.766,11.770,0.034813,55.798385,55.778983
2026-05-14_08-40-10,512,50,200,32,2D TEXTURE,656.509,11.741,0.015,11.741,11.756,0.034885,55.914476,55.843825
2026-05-14_08-40-10,512,50,200,32,2D TEXTURE + CONSTANT,656.509,11.724,0.129,11.724,11.853,0.034937,55.997829,55.386852
2026-05-14_08-40-10,512,50,200,32,REALISTIC,656.509,11.826,0.015,11.826,11.841,0.034635,55.513001,55.443363
2026-05-14_08-52-35,512,50,200,32,OPENMP,659.045,659.045,0.000,659.045,659.045,0.000622,1.000000,1.000000
2026-05-14_08-52-35,512,50,200,32,GLOBAL,659.045,11.797,0.005,11.797,11.801,0.034721,55.866488,55.844382
2026-05-14_08-52-35,512,50,200,32,CONSTANT,659.045,11.731,0.010,11.731,11.742,0.034915,56.177453,56.128993
2026-05-14_08-52-35,512,50,200,32,SHARED,659.045,16.454,0.010,16.454,16.464,0.024894,40.054360,40.029671
2026-05-14_08-52-35,512,50,200,32,1D TEXTURE,659.045,11.761,0.004,11.761,11.765,0.034826,56.035498,56.016003
2026-05-14_08-52-35,512,50,200,32,2D TEXTURE,659.045,11.752,0.006,11.752,11.758,0.034855,56.081190,56.053059
2026-05-14_08-52-35,512,50,200,32,2D TEXTURE + CONSTANT,659.045,11.711,0.012,11.711,11.723,0.034975,56.274023,56.216290
2026-05-14_08-52-35,512,50,200,32,REALISTIC,659.045,11.815,0.006,11.815,11.821,0.034667,55.779390,55.751569
2026-05-14_09-05-02,512,50,200,32,OPENMP,655.193,655.193,0.000,655.193,655.193,0.000625,1.000000,1.000000
2026-05-14_09-05-02,512,50,200,32,GLOBAL,655.193,11.820,0.006,11.820,11.826,0.034654,55.432685,55.404441
2026-05-14_09-05-02,512,50,200,32,CONSTANT,655.193,11.684,0.011,11.684,11.695,0.035058,56.078010,56.025682
2026-05-14_09-05-02,512,50,200,32,SHARED,655.193,16.451,0.011,16.451,16.462,0.024898,39.825994,39.799813
2026-05-14_09-05-02,512,50,200,32,1D TEXTURE,655.193,11.765,0.005,11.765,11.769,0.034816,55.691876,55.668975
2026-05-14_09-05-02,512,50,200,32,2D TEXTURE,655.193,11.696,0.005,11.696,11.701,0.035021,56.018873,55.995441
2026-05-14_09-05-02,512,50,200,32,2D TEXTURE + CONSTANT,655.193,11.729,0.010,11.729,11.740,0.034921,55.859258,55.809990
2026-05-14_09-05-02,512,50,200,32,REALISTIC,655.193,11.839,0.005,11.839,11.844,0.034598,55.343390,55.320337
2026-05-14_09-17-26,512,50,200,64,OPENMP,655.915,655.915,0.000,655.915,655.915,0.000624,1.000000,1.000000
2026-05-14_09-17-26,512,50,200,64,GLOBAL,655.915,11.885,0.005,11.885,11.890,0.034462,55.186383,55.164665
2026-05-14_09-17-26,512,50,200,64,CONSTANT,655.915,11.742,0.011,11.742,11.753,0.034883,55.859374,55.807446
2026-05-14_09-17-26,512,50,200,64,SHARED,655.915,12.985,0.011,12.985,12.996,0.031544,50.513102,50.470661
2026-05-14_09-17-26,512,50,200,64,1D TEXTURE,655.915,11.901,0.004,11.901,11.905,0.034417,55.113597,55.094703
2026-05-14_09-17-26,512,50,200,64,2D TEXTURE,655.915,11.867,0.004,11.867,11.871,0.034517,55.274168,55.254530
2026-05-14_09-17-26,512,50,200,64,2D TEXTURE + CONSTANT,655.915,11.712,0.011,11.712,11.723,0.034973,56.004677,55.953006
2026-05-14_09-17-26,512,50,200,64,REALISTIC,655.915,11.912,0.004,11.912,11.916,0.034385,55.062943,55.044747
2026-05-14_09-29-47,512,50,200,64,OPENMP,655.802,655.802,0.000,655.802,655.802,0.000625,1.000000,1.000000
2026-05-14_09-29-47,512,50,200,64,GLOBAL,655.802,11.973,0.008,11.973,11.982,0.034209,54.771787,54.733668
2026-05-14_09-29-47,512,50,200,64,CONSTANT,655.802,11.766,0.017,11.766,11.783,0.034813,55.737976,55.657735
2026-05-14_09-29-47,512,50,200,64,SHARED,655.802,12.940,0.017,12.940,12.957,0.031654,50.680723,50.614340
2026-05-14_09-29-47,512,50,200,64,1D TEXTURE,655.802,11.899,0.004,11.899,11.903,0.034422,55.112820,55.093841
2026-05-14_09-29-47,512,50,200,64,2D TEXTURE,655.802,11.836,0.004,11.836,11.840,0.034606,55.407061,55.387314
2026-05-14_09-29-47,512,50,200,64,2D TEXTURE + CONSTANT,655.802,11.743,0.013,11.743,11.757,0.034879,55.844084,55.781266
2026-05-14_09-29-47,512,50,200,64,REALISTIC,655.802,11.941,0.004,11.941,11.945,0.034302,54.920573,54.902430
2026-05-14_09-42-08,512,50,200,64,OPENMP,656.644,656.644,0.000,656.644,656.644,0.000624,1.000000,1.000000
