sweep_id,date_time,max_spheres,ray_depth,num_spheres,block_size,implementation,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
1,2026-05-17_16-24-09,512,75,200,256,OPENMP,655.140,655.140,0.000,655.140,655.140,0.000625,1.000000,1.000000
1,2026-05-17_16-24-09,512,75,200,256,GLOBAL,655.140,13.616,0.005,13.616,13.620,0.030083,48.116308,48.099736
1,2026-05-17_16-24-09,512,75,200,256,CONSTANT,655.140,12.509,0.095,12.509,12.604,0.032744,52.373512,51.977255
1,2026-05-17_16-24-09,512,75,200,256,SHARED,655.140,12.612,0.095,12.612,12.707,0.032477,51.946518,51.556646
1,2026-05-17_16-24-09,512,75,200,256,1D TEXTURE,655.140,13.559,0.004,13.559,13.563,0.030209,48.318885,48.304317
1,2026-05-17_16-24-09,512,75,200,256,2D TEXTURE,655.140,13.564,0.004,13.564,13.568,0.030197,48.299205,48.285177
1,2026-05-17_16-24-09,512,75,200,256,2D TEXTURE + CONSTANT,655.140,12.496,0.095,12.496,12.591,0.032780,52.429860,52.033228
1,2026-05-17_16-24-09,512,75,200,256,REALISTIC,655.140,13.543,0.004,13.543,13.547,0.030245,48.376519,48.361483
1,2026-05-17_16-36-37,512,75,200,256,OPENMP,655.942,655.942,0.000,655.942,655.942,0.000624,1.000000,1.000000
1,2026-05-17_16-36-37,512,75,200,256,GLOBAL,655.942,13.595,0.009,13.595,13.604,0.030129,48.249340,48.217897
1,2026-05-17_16-36-37,512,75,200,256,CONSTANT,655.942,12.538,0.020,12.538,12.558,0.032669,52.317468,52.232425
1,2026-05-17_16-36-37,512,75,200,256,SHARED,655.942,12.591,0.020,12.591,12.611,0.032532,52.097835,52.013486
1,2026-05-17_16-36-37,512,75,200,256,1D TEXTURE,655.942,13.560,0.004,13.560,13.564,0.030207,48.374892,48.360296
1,2026-05-17_16-36-37,512,75,200,256,2D TEXTURE,655.942,13.554,0.004,13.554,13.558,0.030219,48.392989,48.378898
1,2026-05-17_16-36-37,512,75,200,256,2D TEXTURE + CONSTANT,655.942,12.490,0.016,12.490,12.507,0.032793,52.515735,52.447982
1,2026-05-17_16-36-37,512,75,200,256,REALISTIC,655.942,13.595,0.004,13.595,13.599,0.030129,48.248504,48.233513
1,2026-05-17_16-49-06,512,75,200,256,OPENMP,656.760,656.760,0.000,656.760,656.760,0.000624,1.000000,1.000000
1,2026-05-17_16-49-06,512,75,200,256,GLOBAL,656.760,13.624,0.005,13.624,13.629,0.030064,48.205534,48.188884
1,2026-05-17_16-49-06,512,75,200,256,CONSTANT,656.760,12.514,0.012,12.514,12.526,0.032732,52.482690,52.431523
1,2026-05-17_16-49-06,512,75,200,256,SHARED,656.760,12.598,0.012,12.598,12.611,0.032512,52.130249,52.079719
1,2026-05-17_16-49-06,512,75,200,256,1D TEXTURE,656.760,13.547,0.004,13.547,13.551,0.030236,48.481574,48.466942
1,2026-05-17_16-49-06,512,75,200,256,2D TEXTURE,656.760,13.529,0.004,13.529,13.533,0.030276,48.544860,48.530732
1,2026-05-17_16-49-06,512,75,200,256,2D TEXTURE + CONSTANT,656.760,12.535,0.012,12.535,12.547,0.032676,52.392788,52.342081
1,2026-05-17_16-49-06,512,75,200,256,REALISTIC,656.760,13.522,0.004,13.522,13.526,0.030292,48.571446,48.556333
1,2026-05-17_17-01-36,512,100,200,256,OPENMP,656.843,656.843,0.000,656.843,656.843,0.000624,1.000000,1.000000
1,2026-05-17_17-01-36,512,100,200,256,GLOBAL,656.843,13.657,0.005,13.657,13.661,0.029993,48.096953,48.080407
1,2026-05-17_17-01-36,512,100,200,256,CONSTANT,656.843,12.571,0.010,12.571,12.581,0.032583,52.251263,52.209869
1,2026-05-17_17-01-36,512,100,200,256,SHARED,656.843,12.609,0.010,12.609,12.619,0.032484,52.091529,52.050364
1,2026-05-17_17-01-36,512,100,200,256,1D TEXTURE,656.843,13.566,0.004,13.566,13.570,0.030193,48.418394,48.403753
1,2026-05-17_17-01-36,512,100,200,256,2D TEXTURE,656.843,13.607,0.004,13.607,13.611,0.030102,48.271594,48.257649
1,2026-05-17_17-01-36,512,100,200,256,2D TEXTURE + CONSTANT,656.843,12.572,0.010,12.572,12.582,0.032579,52.245068,52.204218
1,2026-05-17_17-01-36,512,100,200,256,REALISTIC,656.843,13.617,0.004,13.617,13.621,0.030080,48.236195,48.221278
1,2026-05-17_17-14-06,512,100,200,256,OPENMP,656.921,656.921,0.000,656.921,656.921,0.000624,1.000000,1.000000
1,2026-05-17_17-14-06,512,100,200,256,GLOBAL,656.921,13.631,0.005,13.631,13.636,0.030049,48.193096,48.176572
1,2026-05-17_17-14-06,512,100,200,256,CONSTANT,656.921,12.532,0.010,12.532,12.542,0.032684,52.419412,52.379147
1,2026-05-17_17-14-06,512,100,200,256,SHARED,656.921,12.686,0.010,12.686,12.696,0.032287,51.781894,51.742562
1,2026-05-17_17-14-06,512,100,200,256,1D TEXTURE,656.921,13.598,0.004,13.598,13.602,0.030122,48.309269,48.294692
1,2026-05-17_17-14-06,512,100,200,256,2D TEXTURE,656.921,13.642,0.006,13.642,13.648,0.030025,48.154227,48.133777
1,2026-05-17_17-14-06,512,100,200,256,2D TEXTURE + CONSTANT,656.921,12.613,0.011,12.613,12.624,0.032474,52.082855,52.035821
1,2026-05-17_17-14-06,512,100,200,256,REALISTIC,656.921,13.590,0.006,13.590,13.596,0.030140,48.339085,48.317499
1,2026-05-17_17-26-37,512,100,200,256,OPENMP,657.828,657.828,0.000,657.828,657.828,0.000623,1.000000,1.000000
1,2026-05-17_17-26-37,512,100,200,256,GLOBAL,657.828,13.672,0.005,13.672,13.677,0.029958,48.113969,48.097484
1,2026-05-17_17-26-37,512,100,200,256,CONSTANT,657.828,12.583,0.010,12.583,12.594,0.032552,52.279061,52.235482
1,2026-05-17_17-26-37,512,100,200,256,SHARED,657.828,12.624,0.011,12.624,12.635,0.032446,52.108284,52.064746
1,2026-05-17_17-26-37,512,100,200,256,1D TEXTURE,657.828,13.601,0.004,13.601,13.605,0.030115,48.365655,48.351059
1,2026-05-17_17-26-37,512,100,200,256,2D TEXTURE,657.828,13.596,0.004,13.596,13.600,0.030126,48.383730,48.369691
1,2026-05-17_17-26-37,512,100,200,256,2D TEXTURE + CONSTANT,657.828,12.557,0.010,12.557,12.567,0.032620,52.387992,52.344656
1,2026-05-17_17-26-37,512,100,200,256,REALISTIC,657.828,13.571,0.004,13.571,13.575,0.030182,48.472709,48.457634
